frame,ID,X,Y,Class,Color,Position,dx,dy
10,0,610,124,Ball,white,Ball,0,0
11,0,610,124,Ball,white,Ball,0,0
34,0,436,279,Ball,white,Ball,-174,155
35,0,436,279,Ball,white,Ball,0,0
36,0,394,341,Ball,white,Ball,-42,62
37,0,394,341,Ball,white,Ball,0,0
52,0,268,519,Ball,white,Ball,-126,178
53,0,268,519,Ball,white,Ball,0,0
55,0,230,492,Ball,white,Ball,-38,-27
56,0,230,492,Ball,white,Ball,0,0
57,0,197,465,Ball,white,Ball,-33,-27
58,0,197,465,Ball,white,Ball,0,0
59,0,189,463,Ball,white,Ball,-8,-2
60,0,189,463,Ball,white,Ball,0,0
62,0,162,466,Ball,white,Ball,-27,3
63,0,162,466,Ball,white,Ball,0,0
64,0,124,465,Ball,white,Ball,-38,-1
65,0,124,465,Ball,white,Ball,0,0
92,0,85,314,Ball,white,Ball,-39,-151
93,0,85,314,Ball,white,Ball,0,0
94,0,103,283,Ball,white,Ball,18,-31
95,0,103,283,Ball,white,Ball,0,0
97,0,168,338,Ball,white,Ball,65,55
98,0,168,338,Ball,white,Ball,0,0
108,0,187,198,Ball,white,Ball,19,-140
109,0,187,198,Ball,white,Ball,0,0
111,0,119,245,Ball,white,Ball,-68,47
112,0,119,245,Ball,white,Ball,0,0
10,1,627,234,Player,blue,Defense,0,0
11,1,627,234,Player,blue,Defense,0,0
13,1,707,216,Player,blue,Defense,80,-18
14,1,707,216,Player,blue,Defense,0,0
1,5,587,481,Player,blue,Defense,0,0
2,5,587,481,Player,blue,Defense,0,0
3,5,594,457,Player,blue,Defense,7,-24
4,5,594,457,Player,blue,Defense,0,0
6,5,600,538,Player,blue,Defense,6,81
7,5,600,538,Player,blue,Defense,0,0
8,5,577,464,Player,blue,Defense,-23,-74
9,5,577,464,Player,blue,Defense,0,0
10,5,606,454,Player,blue,Defense,29,-10
11,5,606,454,Player,blue,Defense,0,0
13,5,675,362,Player,blue,Defense,69,-92
14,5,675,362,Player,blue,Defense,0,0
15,5,659,370,Player,blue,Defense,-16,8
16,5,659,370,Player,blue,Defense,0,0
17,5,632,374,Player,blue,Defense,-27,4
18,5,632,374,Player,blue,Defense,0,0
20,5,620,352,Player,blue,Defense,-12,-22
21,5,620,352,Player,blue,Defense,0,0
22,5,592,367,Player,blue,Defense,-28,15
23,5,592,367,Player,blue,Defense,0,0
24,5,584,354,Player,blue,Defense,-8,-13
25,5,584,354,Player,blue,Defense,0,0
27,5,560,353,Player,blue,Defense,-24,-1
28,5,560,353,Player,blue,Defense,0,0
29,5,549,344,Player,blue,Defense,-11,-9
30,5,549,344,Player,blue,Defense,0,0
31,5,522,335,Player,blue,Defense,-27,-9
32,5,522,335,Player,blue,Defense,0,0
34,5,482,346,Player,blue,Defense,-40,11
35,5,482,346,Player,blue,Defense,0,0
36,5,474,385,Player,blue,Defense,-8,39
37,5,474,385,Player,blue,Defense,0,0
38,5,466,371,Player,blue,Defense,-8,-14
39,5,466,371,Player,blue,Defense,0,0
41,5,386,383,Player,blue,Defense,-80,12
42,5,386,383,Player,blue,Defense,0,0
43,5,365,426,Player,blue,Defense,-21,43
44,5,365,426,Player,blue,Defense,0,0
45,5,394,493,Player,blue,Defense,29,67
46,5,394,493,Player,blue,Defense,0,0
48,5,466,476,Player,blue,Defense,72,-17
49,5,466,476,Player,blue,Defense,0,0
50,5,330,463,Player,blue,Defense,-136,-13
51,5,330,463,Player,blue,Defense,0,0
52,5,294,482,Player,blue,Defense,-36,19
53,5,294,482,Player,blue,Defense,0,0
55,5,258,451,Player,blue,Defense,-36,-31
56,5,258,451,Player,blue,Defense,0,0
57,5,228,429,Player,blue,Defense,-30,-22
58,5,228,429,Player,blue,Defense,0,0
59,5,208,432,Player,blue,Defense,-20,3
60,5,208,432,Player,blue,Defense,0,0
62,5,175,434,Player,blue,Defense,-33,2
63,5,175,434,Player,blue,Defense,0,0
64,5,117,440,Player,blue,Defense,-58,6
65,5,117,440,Player,blue,Defense,0,0
66,5,104,440,Player,blue,Defense,-13,0
67,5,104,440,Player,blue,Defense,0,0
69,5,98,443,Player,blue,Defense,-6,3
70,5,98,443,Player,blue,Defense,0,0
71,5,93,435,Player,blue,Defense,-5,-8
72,5,93,435,Player,blue,Defense,0,0
73,5,105,453,Player,white,Attack,12,18
74,5,105,453,Player,white,Attack,0,0
80,5,89,416,Player,blue,Defense,-16,-37
81,5,89,416,Player,blue,Defense,0,0
83,5,122,441,Player,blue,Defense,33,25
84,5,122,441,Player,blue,Defense,0,0
1,6,649,430,Player,white,Attack,0,0
2,6,649,430,Player,white,Attack,0,0
3,6,654,410,Player,white,Attack,5,-20
4,6,654,410,Player,white,Attack,0,0
6,6,645,490,Player,white,Attack,-9,80
7,6,645,490,Player,white,Attack,0,0
8,6,623,433,Player,white,Attack,-22,-57
9,6,623,433,Player,white,Attack,0,0
10,6,656,427,Player,white,Attack,33,-6
11,6,656,427,Player,white,Attack,0,0
13,6,721,360,Player,white,Attack,65,-67
14,6,721,360,Player,white,Attack,0,0
15,6,704,376,Player,white,Attack,-17,16
16,6,704,376,Player,white,Attack,0,0
17,6,674,392,Player,white,Attack,-30,16
18,6,674,392,Player,white,Attack,0,0
20,6,652,371,Player,white,Attack,-22,-21
21,6,652,371,Player,white,Attack,0,0
22,6,626,392,Player,white,Attack,-26,21
23,6,626,392,Player,white,Attack,0,0
24,6,606,382,Player,white,Attack,-20,-10
25,6,606,382,Player,white,Attack,0,0
27,6,578,385,Player,white,Attack,-28,3
28,6,578,385,Player,white,Attack,0,0
29,6,564,383,Player,white,Attack,-14,-2
30,6,564,383,Player,white,Attack,0,0
31,6,534,378,Player,white,Attack,-30,-5
32,6,534,378,Player,white,Attack,0,0
34,6,491,391,Player,white,Attack,-43,13
35,6,491,391,Player,white,Attack,0,0
36,6,478,423,Player,blue,Defense,-13,32
37,6,478,423,Player,blue,Defense,0,0
38,6,465,413,Player,blue,Defense,-13,-10
39,6,465,413,Player,blue,Defense,0,0
41,6,381,414,Player,blue,Defense,-84,1
42,6,381,414,Player,blue,Defense,0,0
43,6,361,465,Player,white,Attack,-20,51
44,6,361,465,Player,white,Attack,0,0
45,6,385,525,Player,white,Attack,24,60
46,6,385,525,Player,white,Attack,0,0
48,6,448,520,Player,white,Attack,63,-5
49,6,448,520,Player,white,Attack,0,0
50,6,323,501,Player,white,Attack,-125,-19
51,6,323,501,Player,white,Attack,0,0
52,6,287,517,Player,white,Attack,-36,16
53,6,287,517,Player,white,Attack,0,0
55,6,254,490,Player,white,Attack,-33,-27
56,6,254,490,Player,white,Attack,0,0
57,6,225,464,Player,white,Attack,-29,-26
58,6,225,464,Player,white,Attack,0,0
59,6,207,459,Player,white,Attack,-18,-5
60,6,207,459,Player,white,Attack,0,0
62,6,175,468,Player,white,Attack,-32,9
63,6,175,468,Player,white,Attack,0,0
64,6,124,469,Player,white,Attack,-51,1
65,6,124,469,Player,white,Attack,0,0
