frame,ID,X,Y,Class,Color,Position,dx,dy
1,0,453,80,Ball,white,Ball,0,0
2,0,453,80,Ball,white,Ball,0,0
20,0,861,208,Ball,white,Ball,408,128
21,0,861,208,Ball,white,Ball,0,0
1,2,596,139,Player,white,Defense,0,0
2,2,596,139,Player,white,Defense,0,0
3,2,620,152,Player,white,Defense,24,13
4,2,620,152,Player,white,Defense,0,0
6,2,632,158,Player,white,Defense,12,6
7,2,632,158,Player,white,Defense,0,0
8,2,658,153,Player,white,Defense,26,-5
9,2,658,153,Player,white,Defense,0,0
10,2,669,185,Player,red,Attack,11,32
11,2,669,185,Player,red,Attack,0,0
13,2,672,185,Player,red,Attack,3,0
14,2,672,185,Player,red,Attack,0,0
15,2,694,154,Player,white,Defense,22,-31
16,2,694,154,Player,white,Defense,0,0
17,2,710,175,Player,white,Defense,16,21
18,2,710,175,Player,white,Defense,0,0
20,2,712,186,Player,white,Defense,2,11
21,2,712,186,Player,white,Defense,0,0
1,3,489,315,Player,skyblue,Not a player,0,0
2,3,489,315,Player,skyblue,Not a player,0,0
3,3,504,315,Player,green,Defense,15,0
4,3,504,315,Player,green,Defense,0,0
6,3,515,316,Player,green,Defense,11,1
7,3,515,316,Player,green,Defense,0,0
8,3,528,326,Player,green,Defense,13,10
9,3,528,326,Player,green,Defense,0,0
10,3,540,358,Player,green,Defense,12,32
11,3,540,358,Player,green,Defense,0,0
13,3,544,344,Player,green,Defense,4,-14
14,3,544,344,Player,green,Defense,0,0
1,4,469,285,Player,white,Defense,0,0
2,4,469,285,Player,white,Defense,0,0
3,4,487,283,Player,white,Defense,18,-2
4,4,487,283,Player,white,Defense,0,0
6,4,493,288,Player,white,Defense,6,5
7,4,493,288,Player,white,Defense,0,0
8,4,502,301,Player,white,Defense,9,13
9,4,502,301,Player,white,Defense,0,0
10,4,507,331,Player,white,Defense,5,30
11,4,507,331,Player,white,Defense,0,0
1,5,497,251,Player,white,Defense,0,0
2,5,497,251,Player,white,Defense,0,0
3,5,510,250,Player,white,Defense,13,-1
4,5,510,250,Player,white,Defense,0,0
6,5,515,250,Player,white,Defense,5,0
7,5,515,250,Player,white,Defense,0,0
8,5,521,256,Player,white,Defense,6,6
9,5,521,256,Player,white,Defense,0,0
10,5,526,285,Player,white,Defense,5,29
11,5,526,285,Player,white,Defense,0,0
1,6,431,217,Player,red,Attack,0,0
2,6,431,217,Player,red,Attack,0,0
3,6,443,222,Player,red,Attack,12,5
4,6,443,222,Player,red,Attack,0,0
6,6,446,231,Player,red,Attack,3,9
7,6,446,231,Player,red,Attack,0,0
1,7,375,80,Player,white,Defense,0,0
2,7,375,80,Player,white,Defense,0,0
3,7,401,109,Player,white,Defense,26,29
4,7,401,109,Player,white,Defense,0,0
6,7,405,121,Player,white,Defense,4,12
7,7,405,121,Player,white,Defense,0,0
1,8,503,155,Player,white,Defense,0,0
2,8,503,155,Player,white,Defense,0,0
3,8,521,176,Player,white,Defense,18,21
4,8,521,176,Player,white,Defense,0,0
6,8,528,188,Player,white,Defense,7,12
7,8,528,188,Player,white,Defense,0,0
8,8,537,189,Player,white,Defense,9,1
9,8,537,189,Player,white,Defense,0,0
10,8,540,212,Player,white,Defense,3,23
11,8,540,212,Player,white,Defense,0,0
13,8,542,198,Player,white,Defense,2,-14
14,8,542,198,Player,white,Defense,0,0
1,9,300,107,Player,red,Attack,0,0
2,9,300,107,Player,red,Attack,0,0
1,10,413,438,Player,red,Attack,0,0
2,10,413,438,Player,red,Attack,0,0
3,10,428,437,Player,red,Attack,15,-1
4,10,428,437,Player,red,Attack,0,0
6,10,438,440,Player,red,Attack,10,3
7,10,438,440,Player,red,Attack,0,0
1,11,532,237,Player,red,Attack,0,0
2,11,532,237,Player,red,Attack,0,0
3,11,543,237,Player,red,Attack,11,0
4,11,543,237,Player,red,Attack,0,0
6,11,552,237,Player,red,Attack,9,0
7,11,552,237,Player,red,Attack,0,0
8,11,564,236,Player,red,Attack,12,-1
9,11,564,236,Player,red,Attack,0,0
10,11,574,265,Player,red,Attack,10,29
11,11,574,265,Player,red,Attack,0,0
13,11,581,244,Player,red,Attack,7,-21
14,11,581,244,Player,red,Attack,0,0
15,11,604,218,Player,red,Attack,23,-26
16,11,604,218,Player,red,Attack,0,0
1,13,411,288,Player,red,Attack,0,0
2,13,411,288,Player,red,Attack,0,0
3,13,422,300,Player,red,Attack,11,12
4,13,422,300,Player,red,Attack,0,0
6,13,427,310,Player,red,Attack,5,10
7,13,427,310,Player,red,Attack,0,0
1,25,570,245,Player,red,Attack,0,0
2,25,570,245,Player,red,Attack,0,0
3,25,576,263,Player,red,Attack,6,18
4,25,576,263,Player,red,Attack,0,0
6,25,582,267,Player,red,Attack,6,4
7,25,582,267,Player,red,Attack,0,0
8,25,594,281,Player,red,Attack,12,14
9,25,594,281,Player,red,Attack,0,0
10,25,600,318,Player,red,Attack,6,37
11,25,600,318,Player,red,Attack,0,0
13,25,607,310,Player,red,Attack,7,-8
14,25,607,310,Player,red,Attack,0,0
15,25,631,295,Player,red,Attack,24,-15
16,25,631,295,Player,red,Attack,0,0
17,25,647,319,Player,red,Attack,16,24
18,25,647,319,Player,red,Attack,0,0
1,26,581,94,Player,red,Attack,0,0
2,26,581,94,Player,red,Attack,0,0
3,26,612,112,Player,red,Attack,31,18
4,26,612,112,Player,red,Attack,0,0
6,26,628,115,Player,red,Attack,16,3
7,26,628,115,Player,red,Attack,0,0
8,26,659,113,Player,red,Attack,31,-2
9,26,659,113,Player,red,Attack,0,0
10,26,678,116,Player,red,Attack,19,3
11,26,678,116,Player,red,Attack,0,0
15,26,708,113,Player,red,Attack,30,-3
16,26,708,113,Player,red,Attack,0,0
17,26,728,141,Player,red,Attack,20,28
18,26,728,141,Player,red,Attack,0,0
20,26,733,155,Player,red,Attack,5,14
21,26,733,155,Player,red,Attack,0,0
22,26,740,168,Player,red,Attack,7,13
23,26,740,168,Player,red,Attack,0,0
24,26,763,181,Player,red,Attack,23,13
25,26,763,181,Player,red,Attack,0,0
29,26,808,192,Player,red,Attack,45,11
30,26,808,192,Player,red,Attack,0,0
31,26,886,246,Player,red,Attack,78,54
32,26,886,246,Player,red,Attack,0,0
34,26,906,256,Player,red,Attack,20,10
35,26,906,256,Player,red,Attack,0,0
36,26,926,265,Player,red,Attack,20,9
37,26,926,265,Player,red,Attack,0,0
38,26,945,281,Player,red,Attack,19,16
39,26,945,281,Player,red,Attack,0,0
41,26,973,300,Player,red,Attack,28,19
42,26,973,300,Player,red,Attack,0,0
1,29,409,236,Player,white,Defense,0,0
2,29,409,236,Player,white,Defense,0,0
3,29,433,233,Player,white,Defense,24,-3
4,29,433,233,Player,white,Defense,0,0
6,29,441,240,Player,white,Defense,8,7
7,29,441,240,Player,white,Defense,0,0
3,40,624,229,Player,white,Defense,0,0
4,40,624,229,Player,white,Defense,0,0
6,40,634,231,Player,white,Defense,10,2
7,40,634,231,Player,white,Defense,0,0
8,40,656,240,Player,white,Defense,22,9
9,40,656,240,Player,white,Defense,0,0
10,40,665,274,Player,white,Defense,9,34
11,40,665,274,Player,white,Defense,0,0
13,40,672,264,Player,white,Defense,7,-10
14,40,672,264,Player,white,Defense,0,0
15,40,698,240,Player,white,Defense,26,-24
16,40,698,240,Player,white,Defense,0,0
17,40,712,257,Player,white,Defense,14,17
18,40,712,257,Player,white,Defense,0,0
20,40,719,273,Player,white,Defense,7,16
21,40,719,273,Player,white,Defense,0,0
22,40,726,290,Player,white,Defense,7,17
23,40,726,290,Player,white,Defense,0,0
24,40,749,294,Player,white,Defense,23,4
25,40,749,294,Player,white,Defense,0,0
27,40,768,302,Player,white,Defense,19,8
28,40,768,302,Player,white,Defense,0,0
29,40,787,304,Player,white,Defense,19,2
30,40,787,304,Player,white,Defense,0,0
31,40,861,325,Player,white,Defense,74,21
32,40,861,325,Player,white,Defense,0,0
34,40,876,330,Player,white,Defense,15,5
35,40,876,330,Player,white,Defense,0,0
36,40,894,339,Player,white,Defense,18,9
37,40,894,339,Player,white,Defense,0,0
38,40,912,337,Player,white,Defense,18,-2
39,40,912,337,Player,white,Defense,0,0
41,40,939,344,Player,white,Defense,27,7
42,40,939,344,Player,white,Defense,0,0
3,51,636,414,Player,red,Attack,0,0
4,51,636,414,Player,red,Attack,0,0
6,51,657,411,Player,red,Attack,21,-3
7,51,657,411,Player,red,Attack,0,0
8,51,682,434,Player,red,Attack,25,23
9,51,682,434,Player,red,Attack,0,0
10,51,690,461,Player,red,Attack,8,27
11,51,690,461,Player,red,Attack,0,0
13,51,709,452,Player,red,Attack,19,-9
14,51,709,452,Player,red,Attack,0,0
15,51,745,439,Player,red,Attack,36,-13
16,51,745,439,Player,red,Attack,0,0
17,51,760,432,Player,red,Attack,15,-7
18,51,760,432,Player,red,Attack,0,0
20,51,781,446,Player,red,Attack,21,14
21,51,781,446,Player,red,Attack,0,0
22,51,819,439,Player,red,Attack,38,-7
23,51,819,439,Player,red,Attack,0,0
24,51,834,460,Player,red,Attack,15,21
25,51,834,460,Player,red,Attack,0,0
27,51,851,467,Player,red,Attack,17,7
28,51,851,467,Player,red,Attack,0,0
29,51,870,463,Player,red,Attack,19,-4
30,51,870,463,Player,red,Attack,0,0
31,51,920,458,Player,red,Attack,50,-5
32,51,920,458,Player,red,Attack,0,0
34,51,939,453,Player,red,Attack,19,-5
35,51,939,453,Player,red,Attack,0,0
36,51,955,457,Player,red,Attack,16,4
37,51,955,457,Player,red,Attack,0,0
38,51,973,448,Player,red,Attack,18,-9
39,51,973,448,Player,red,Attack,0,0
41,51,990,438,Player,red,Attack,17,-10
42,51,990,438,Player,red,Attack,0,0
3,60,634,366,Player,white,Defense,0,0
4,60,634,366,Player,white,Defense,0,0
6,60,651,389,Player,white,Defense,17,23
7,60,651,389,Player,white,Defense,0,0
8,60,676,405,Player,white,Defense,25,16
9,60,676,405,Player,white,Defense,0,0
10,60,687,431,Player,white,Defense,11,26
11,60,687,431,Player,white,Defense,0,0
13,60,705,421,Player,white,Defense,18,-10
14,60,705,421,Player,white,Defense,0,0
15,60,742,406,Player,white,Defense,37,-15
16,60,742,406,Player,white,Defense,0,0
17,60,755,410,Player,white,Defense,13,4
18,60,755,410,Player,white,Defense,0,0
20,60,778,417,Player,white,Defense,23,7
21,60,778,417,Player,white,Defense,0,0
22,60,809,434,Player,white,Defense,31,17
23,60,809,434,Player,white,Defense,0,0
24,60,834,436,Player,white,Defense,25,2
25,60,834,436,Player,white,Defense,0,0
27,60,868,414,Player,white,Defense,34,-22
28,60,868,414,Player,white,Defense,0,0
6,87,678,298,Player,white,Defense,0,0
7,87,678,298,Player,white,Defense,0,0
8,87,703,315,Player,white,Defense,25,17
9,87,703,315,Player,white,Defense,0,0
10,87,713,336,Player,white,Defense,10,21
11,87,713,336,Player,white,Defense,0,0
13,87,716,336,Player,white,Defense,3,0
14,87,716,336,Player,white,Defense,0,0
15,87,742,320,Player,white,Defense,26,-16
16,87,742,320,Player,white,Defense,0,0
17,87,754,323,Player,white,Defense,12,3
18,87,754,323,Player,white,Defense,0,0
20,87,767,335,Player,white,Defense,13,12
21,87,767,335,Player,white,Defense,0,0
22,87,788,345,Player,white,Defense,21,10
23,87,788,345,Player,white,Defense,0,0
24,87,809,350,Player,white,Defense,21,5
25,87,809,350,Player,white,Defense,0,0
27,87,828,365,Player,white,Defense,19,15
28,87,828,365,Player,white,Defense,0,0
29,87,849,374,Player,white,Defense,21,9
30,87,849,374,Player,white,Defense,0,0
31,87,903,424,Player,white,Defense,54,50
32,87,903,424,Player,white,Defense,0,0
34,87,915,431,Player,white,Defense,12,7
35,87,915,431,Player,white,Defense,0,0
36,87,929,435,Player,white,Defense,14,4
37,87,929,435,Player,white,Defense,0,0
38,87,942,434,Player,white,Defense,13,-1
39,87,942,434,Player,white,Defense,0,0
41,87,958,425,Player,white,Defense,16,-9
42,87,958,425,Player,white,Defense,0,0
24,664,986,368,Player,green,Defense,0,0
25,664,986,368,Player,green,Defense,0,0
27,664,994,372,Player,green,Defense,8,4
28,664,994,372,Player,green,Defense,0,0
29,664,1007,371,Player,green,Defense,13,-1
30,664,1007,371,Player,green,Defense,0,0
31,664,1022,374,Player,green,Defense,15,3
32,664,1022,374,Player,green,Defense,0,0
34,664,1025,378,Player,green,Defense,3,4
35,664,1025,378,Player,green,Defense,0,0
36,664,1023,392,Player,green,Defense,-2,14
37,664,1023,392,Player,green,Defense,0,0
38,664,1024,394,Player,green,Defense,1,2
39,664,1024,394,Player,green,Defense,0,0
41,664,1024,393,Player,green,Defense,0,-1
42,664,1024,393,Player,green,Defense,0,0
31,824,919,449,Player,white,Defense,0,0
32,824,919,449,Player,white,Defense,0,0
34,824,933,448,Player,white,Defense,14,-1
35,824,933,448,Player,white,Defense,0,0
36,824,949,448,Player,white,Defense,16,0
37,824,949,448,Player,white,Defense,0,0
38,824,966,441,Player,white,Defense,17,-7
39,824,966,441,Player,white,Defense,0,0
31,826,862,257,Player,white,Defense,0,0
32,826,862,257,Player,white,Defense,0,0
34,826,887,260,Player,white,Defense,25,3
35,826,887,260,Player,white,Defense,0,0
36,826,906,278,Player,white,Defense,19,18
37,826,906,278,Player,white,Defense,0,0
38,826,927,288,Player,white,Defense,21,10
39,826,927,288,Player,white,Defense,0,0
41,826,967,286,Player,white,Defense,40,-2
42,826,967,286,Player,white,Defense,0,0
31,828,807,411,Player,red,Attack,0,0
32,828,807,411,Player,red,Attack,0,0
34,828,827,418,Player,red,Attack,20,7
35,828,827,418,Player,red,Attack,0,0
36,828,848,424,Player,red,Attack,21,6
37,828,848,424,Player,red,Attack,0,0
38,828,866,419,Player,red,Attack,18,-5
39,828,866,419,Player,red,Attack,0,0
41,828,888,434,Player,red,Attack,22,15
42,828,888,434,Player,red,Attack,0,0
31,829,808,409,Player,red,Attack,0,0
32,829,808,409,Player,red,Attack,0,0
34,829,830,416,Player,red,Attack,22,7
35,829,830,416,Player,red,Attack,0,0
36,829,850,424,Player,red,Attack,20,8
37,829,850,424,Player,red,Attack,0,0
38,829,865,424,Player,red,Attack,15,0
39,829,865,424,Player,red,Attack,0,0
34,837,951,452,Ball,white,Ball,0,0
35,837,951,452,Ball,white,Ball,0,0
36,837,965,456,Ball,white,Ball,14,4
37,837,965,456,Ball,white,Ball,0,0
