frame,ID,X,Y,Class,Color,Position,dx,dy
1,0,567,142,Ball,white,Ball,0,0
2,0,615,155,Ball,white,Ball,48,13
3,0,637,178,Ball,white,Ball,22,23
4,0,660,201,Ball,white,Ball,23,23
5,0,673,218,Ball,white,Ball,13,17
6,0,687,236,Ball,white,Ball,14,18
7,0,709,242,Ball,white,Ball,22,6
8,0,732,249,Ball,white,Ball,23,7
9,0,751,262,Ball,white,Ball,19,13
10,0,771,276,Ball,white,Ball,20,14
11,0,802,288,Ball,white,Ball,31,12
12,0,834,300,Ball,white,Ball,32,12
13,0,834,300,Ball,white,Ball,0,0
14,0,834,300,Ball,white,Ball,0,0
19,0,836,268,Ball,white,Ball,2,-32
20,0,767,266,Ball,white,Ball,-69,-2
21,0,767,266,Ball,white,Ball,0,0
22,0,767,266,Ball,white,Ball,0,0
25,0,978,275,Ball,white,Ball,211,9
26,0,1000,284,Ball,white,Ball,22,9
27,0,1016,298,Ball,white,Ball,16,14
28,0,1033,312,Ball,white,Ball,17,14
1,1,680,181,Player,blue,Attack,0,0
2,1,697,171,Player,blue,Attack,17,-10
3,1,703,168,Player,skyblue,Defense,6,-3
4,1,710,165,Player,skyblue,Defense,7,-3
5,1,710,168,Player,skyblue,Defense,0,3
6,1,710,172,Player,skyblue,Defense,0,4
7,1,726,174,Player,skyblue,Defense,16,2
8,1,743,176,Player,skyblue,Defense,17,2
9,1,755,177,Player,blue,Attack,12,1
10,1,768,178,Player,blue,Attack,13,1
11,1,782,194,Player,skyblue,Defense,14,16
12,1,796,210,Player,skyblue,Defense,14,16
13,1,799,214,Player,skyblue,Defense,3,4
14,1,802,218,Player,skyblue,Defense,3,4
15,1,807,222,Player,skyblue,Defense,5,4
16,1,813,227,Player,skyblue,Defense,6,5
17,1,818,231,Player,skyblue,Defense,5,4
18,1,824,236,Player,skyblue,Defense,6,5
19,1,829,237,Player,skyblue,Defense,5,1
20,1,834,238,Player,skyblue,Defense,5,1
1,2,670,315,Player,blue,Attack,0,0
2,2,686,304,Player,blue,Attack,16,-11
3,2,695,299,Player,blue,Attack,9,-5
4,2,705,294,Player,blue,Attack,10,-5
5,2,710,291,Player,blue,Attack,5,-3
6,2,715,289,Player,blue,Attack,5,-2
7,2,730,286,Player,blue,Attack,15,-3
8,2,746,284,Player,blue,Attack,16,-2
9,2,759,291,Player,blue,Attack,13,7
10,2,773,299,Player,blue,Attack,14,8
11,2,797,303,Player,blue,Attack,24,4
12,2,822,307,Player,blue,Attack,25,4
13,2,833,310,Player,blue,Attack,11,3
14,2,845,314,Player,blue,Attack,12,4
15,2,856,311,Player,blue,Attack,11,-3
16,2,868,308,Player,blue,Attack,12,-3
17,2,877,298,Player,blue,Attack,9,-10
18,2,887,288,Player,blue,Attack,10,-10
19,2,894,289,Player,blue,Attack,7,1
20,2,902,291,Player,blue,Attack,8,2
21,2,910,289,Player,blue,Attack,8,-2
22,2,919,287,Player,blue,Attack,9,-2
23,2,928,278,Player,blue,Attack,9,-9
24,2,937,270,Player,blue,Attack,9,-8
25,2,942,263,Player,blue,Attack,5,-7
26,2,947,257,Player,blue,Attack,5,-6
27,2,950,251,Player,blue,Attack,3,-6
28,2,953,245,Player,blue,Attack,3,-6
29,2,960,219,Player,blue,Attack,7,-26
30,2,968,193,Player,blue,Attack,8,-26
1,3,482,197,Player,blue,Attack,0,0
2,3,488,207,Player,blue,Attack,6,10
3,3,493,209,Player,blue,Attack,5,2
4,3,499,211,Player,blue,Attack,6,2
1,4,647,133,Player,blue,Attack,0,0
2,4,666,118,Player,blue,Attack,19,-15
3,4,673,117,Player,blue,Attack,7,-1
4,4,681,117,Player,blue,Attack,8,0
