frame,ID,X,Y,Class,Color,Position
6,1,495,482,Player,white,Defense
6,2,294,352,Player,white,Defense
6,3,357,291,Player,green,Not a player
6,4,323,189,Player,white,Defense
6,5,215,255,Player,white,Defense
6,6,223,174,Player,white,Defense
6,7,407,188,Player,red,Attack
6,8,218,208,Player,red,Attack
6,9,414,83,Player,red,Attack
6,10,352,351,Player,red,Attack
6,11,237,57,Player,white,Defense
6,12,272,97,Player,white,Defense
6,13,267,39,Player,white,Defense
6,14,335,101,Player,white,Defense
6,16,403,252,Player,white,Defense
6,20,264,74,Player,white,Defense
6,0,439,102,Ball,white,Ball
12,1,468,521,Player,white,Defense
12,2,339,412,Player,white,Defense
12,3,394,363,Player,green,Not a player
12,4,404,239,Player,white,Defense
12,5,280,328,Player,white,Defense
12,6,281,230,Player,white,Defense
12,7,437,224,Player,white,Defense
12,8,270,273,Player,white,Defense
12,9,465,117,Player,red,Attack
12,10,382,420,Player,red,Attack
12,11,290,82,Player,white,Defense
12,12,322,149,Player,white,Defense
12,13,332,41,Player,white,Defense
12,14,404,138,Player,white,Defense
12,16,447,281,Player,white,Defense
12,20,302,125,Player,red,Attack
12,22,514,550,Player,red,Attack
12,23,541,186,Player,red,Attack
12,29,577,369,Player,red,Attack
12,31,299,120,Player,white,Defense
12,0,546,219,Ball,white,Ball
18,1,474,520,Player,white,Defense
18,2,349,418,Player,white,Defense
18,3,404,368,Player,green,Not a player
18,4,415,257,Player,white,Defense
18,5,289,335,Player,white,Defense
18,6,292,241,Player,white,Defense
18,7,445,236,Player,white,Defense
18,8,276,273,Player,white,Defense
18,9,472,139,Player,red,Attack
18,10,392,420,Player,red,Attack
18,11,302,106,Player,white,Defense
18,12,332,168,Player,white,Defense
18,13,342,58,Player,white,Defense
18,14,414,154,Player,white,Defense
18,15,310,17,Player,white,Defense
18,16,458,294,Player,white,Defense
18,20,313,147,Player,red,Attack
18,22,523,553,Player,red,Attack
18,23,543,202,Player,red,Attack
18,29,583,376,Player,red,Attack
18,31,312,149,Player,white,Defense
18,0,555,256,Ball,white,Ball
24,1,465,506,Player,white,Defense
24,2,353,402,Player,white,Defense
24,3,405,350,Player,green,Not a player
24,4,418,253,Player,white,Defense
24,5,299,323,Player,white,Defense
24,6,307,234,Player,white,Defense
24,7,446,229,Player,red,Attack
24,8,290,262,Player,white,Defense
24,9,475,133,Player,red,Attack
24,10,393,404,Player,red,Attack
24,11,319,102,Player,white,Defense
24,12,342,161,Player,white,Defense
24,13,360,61,Player,white,Defense
24,14,423,151,Player,white,Defense
24,15,331,29,Player,white,Defense
24,16,463,273,Player,white,Defense
24,20,328,151,Player,red,Attack
24,22,519,543,Player,white,Defense
24,23,540,192,Player,red,Attack
24,24,324,113,Player,white,Defense
24,29,581,362,Player,red,Attack
24,31,327,146,Player,white,Defense
24,0,560,283,Ball,white,Ball
30,1,460,494,Player,white,Defense
30,2,352,388,Player,white,Defense
30,3,401,333,Player,green,Not a player
30,4,413,231,Player,white,Defense
30,5,300,312,Player,white,Defense
30,6,305,218,Player,white,Defense
30,7,441,197,Player,red,Attack
30,8,290,257,Player,white,Defense
30,9,470,85,Player,red,Attack
30,10,393,396,Player,red,Attack
30,11,311,60,Player,white,Defense
30,12,336,135,Player,white,Defense
30,13,352,13,Player,white,Defense
30,14,418,113,Player,white,Defense
30,16,463,249,Player,white,Defense
30,20,321,121,Player,white,Defense
30,22,520,527,Player,white,Defense
30,23,541,145,Player,red,Attack
30,29,584,334,Player,red,Attack
30,31,315,86,Player,white,Defense
30,0,567,267,Ball,white,Ball
36,1,462,519,Player,white,Defense
36,2,359,419,Player,white,Defense
36,3,406,364,Player,green,Not a player
36,4,415,264,Player,white,Defense
36,5,303,342,Player,white,Defense
36,6,304,245,Player,white,Defense
36,7,445,231,Player,red,Attack
36,8,290,286,Player,white,Defense
36,9,474,108,Player,red,Attack
36,10,402,430,Player,white,Defense
36,12,333,162,Player,white,Defense
36,13,347,16,Player,white,Defense
36,14,420,132,Player,white,Defense
36,16,471,288,Player,white,Defense
36,20,318,154,Player,red,Attack
36,22,523,560,Player,white,Defense
36,23,547,181,Player,white,Defense
36,29,586,368,Player,red,Attack
36,31,311,114,Player,white,Defense
36,0,573,321,Ball,white,Ball
42,1,462,509,Player,white,Defense
42,2,362,413,Player,white,Defense
42,3,411,358,Player,green,Not a player
42,4,418,267,Player,white,Defense
42,5,309,338,Player,white,Defense
42,6,316,249,Player,white,Defense
42,7,449,235,Player,red,Attack
42,8,299,278,Player,white,Defense
42,9,478,126,Player,red,Attack
42,10,406,416,Player,red,Attack
42,12,345,174,Player,white,Defense
42,13,365,46,Player,white,Defense
42,14,428,148,Player,white,Defense
42,15,331,11,Player,white,Defense
42,16,475,281,Player,white,Defense
42,20,331,163,Player,red,Attack
42,22,527,550,Player,red,Attack
42,23,548,187,Player,white,Defense
42,29,587,359,Player,red,Attack
42,31,330,149,Player,white,Defense
42,0,576,330,Ball,white,Ball
48,1,465,518,Player,white,Defense
48,2,359,416,Player,white,Defense
48,3,412,358,Player,green,Not a player
48,4,419,268,Player,white,Defense
48,5,294,333,Player,white,Defense
48,6,301,231,Player,white,Defense
48,7,452,235,Player,red,Attack
48,8,281,268,Player,white,Defense
48,9,481,123,Player,red,Attack
48,10,412,422,Player,red,Attack
48,11,311,79,Player,white,Defense
48,12,336,154,Player,white,Defense
48,13,360,15,Player,white,Defense
48,14,431,134,Player,white,Defense
48,16,484,282,Player,white,Defense
48,20,319,141,Player,red,Attack
48,22,532,553,Player,red,Attack
48,23,551,194,Player,white,Defense
48,29,588,364,Player,red,Attack
48,31,320,135,Player,white,Defense
48,0,579,350,Ball,white,Ball
54,1,462,511,Player,white,Defense
54,2,363,410,Player,white,Defense
54,3,410,351,Player,green,Not a player
54,4,412,269,Player,white,Defense
54,5,304,337,Player,white,Defense
54,6,307,236,Player,white,Defense
54,7,444,228,Player,red,Attack
54,8,292,275,Player,white,Defense
54,9,469,112,Player,red,Attack
54,10,414,418,Player,red,Attack
54,12,338,166,Player,white,Defense
54,13,357,22,Player,white,Defense
54,14,423,130,Player,white,Defense
54,16,478,270,Player,white,Defense
54,20,323,153,Player,red,Attack
54,22,532,554,Player,red,Attack
54,23,541,179,Player,white,Defense
54,29,581,348,Player,red,Attack
54,31,321,140,Player,white,Defense
54,0,575,350,Ball,white,Ball
60,1,471,507,Player,white,Defense
60,2,365,409,Player,white,Defense
60,3,412,345,Player,green,Not a player
60,4,409,267,Player,white,Defense
60,5,294,325,Player,white,Defense
60,6,294,220,Player,white,Defense
60,7,446,223,Player,red,Attack
60,8,280,264,Player,white,Defense
60,9,468,106,Player,red,Attack
60,10,427,416,Player,red,Attack
60,12,328,149,Player,white,Defense
60,14,422,120,Player,white,Defense
60,16,490,269,Player,white,Defense
60,20,309,125,Player,red,Attack
60,22,545,552,Player,red,Attack
60,23,547,183,Player,red,Attack
60,29,587,355,Player,red,Attack
60,31,307,119,Player,white,Defense
60,0,580,362,Ball,white,Ball
66,1,489,524,Player,white,Defense
66,2,395,431,Player,white,Defense
66,3,417,355,Player,green,Not a player
66,4,396,312,Player,white,Defense
66,5,280,342,Player,white,Defense
66,6,279,240,Player,white,Defense
66,7,455,248,Player,red,Attack
66,8,266,288,Player,white,Defense
66,9,452,129,Player,red,Attack
66,10,474,428,Player,white,Defense
66,12,349,205,Player,white,Defense
66,14,433,132,Player,white,Defense
66,16,529,310,Player,white,Defense
66,20,318,146,Player,red,Attack
66,22,573,570,Player,red,Attack
66,23,570,190,Player,red,Attack
66,29,574,384,Player,red,Attack
66,31,285,74,Player,white,Defense
66,0,177,256,Ball,white,Ball
72,1,486,531,Player,white,Defense
72,2,417,440,Player,white,Defense
72,3,433,365,Player,green,Not a player
72,4,396,334,Player,white,Defense
72,5,276,352,Player,white,Defense
72,6,285,273,Player,white,Defense
72,7,456,271,Player,red,Attack
72,8,269,317,Player,white,Defense
72,9,444,176,Player,red,Attack
72,10,457,435,Player,white,Defense
72,12,358,247,Player,white,Defense
72,13,386,30,Player,white,Defense
