frame,ID,X,Y,Class,Color,Position,dx,dy
1,0,492,160,Ball,white,Ball,0,0
2,0,546,219,Ball,white,Ball,54,59
3,0,550,237,Ball,white,Ball,4,18
4,0,555,256,Ball,white,Ball,5,19
5,0,557,269,Ball,white,Ball,2,13
6,0,560,283,Ball,white,Ball,3,14
7,0,563,275,Ball,white,Ball,3,-8
8,0,567,267,Ball,white,Ball,4,-8
9,0,570,294,Ball,white,Ball,3,27
10,0,573,321,Ball,white,Ball,3,27
11,0,574,325,Ball,white,Ball,1,4
12,0,576,330,Ball,white,Ball,2,5
13,0,577,340,Ball,white,Ball,1,10
14,0,579,350,Ball,white,Ball,2,10
15,0,577,350,Ball,white,Ball,-2,0
16,0,575,350,Ball,white,Ball,-2,0
17,0,577,356,Ball,white,Ball,2,6
18,0,580,362,Ball,white,Ball,3,6
19,0,378,309,Ball,white,Ball,-202,-53
20,0,177,256,Ball,white,Ball,-201,-53
21,0,315,348,Ball,white,Ball,138,92
22,0,453,441,Ball,white,Ball,138,93
23,0,395,284,Ball,white,Ball,-58,-157
24,0,338,127,Ball,white,Ball,-57,-157
25,0,340,125,Ball,white,Ball,2,-2
26,0,342,123,Ball,white,Ball,2,-2
27,0,337,116,Ball,white,Ball,-5,-7
28,0,332,109,Ball,white,Ball,-5,-7
29,0,327,111,Ball,white,Ball,-5,2
30,0,323,114,Ball,white,Ball,-4,3
31,0,225,88,Ball,white,Ball,-98,-26
32,0,128,63,Ball,white,Ball,-97,-25
33,0,203,122,Ball,white,Ball,75,59
34,0,279,181,Ball,white,Ball,76,59
35,0,298,227,Ball,white,Ball,19,46
36,0,318,274,Ball,white,Ball,20,47
37,0,334,206,Ball,white,Ball,16,-68
38,0,351,139,Ball,white,Ball,17,-67
39,0,328,153,Ball,white,Ball,-23,14
40,0,305,168,Ball,white,Ball,-23,15
41,0,334,178,Ball,white,Ball,29,10
42,0,363,189,Ball,white,Ball,29,11
43,0,365,144,Ball,white,Ball,2,-45
44,0,367,99,Ball,white,Ball,2,-45
45,0,382,112,Ball,white,Ball,15,13
46,0,397,126,Ball,white,Ball,15,14
47,0,393,92,Ball,white,Ball,-4,-34
48,0,389,58,Ball,white,Ball,-4,-34
49,0,384,71,Ball,white,Ball,-5,13
50,0,379,85,Ball,white,Ball,-5,14
51,0,384,104,Ball,white,Ball,5,19
52,0,390,124,Ball,white,Ball,6,20
53,0,389,113,Ball,white,Ball,-1,-11
54,0,389,103,Ball,white,Ball,0,-10
55,0,408,150,Ball,white,Ball,19,47
56,0,427,198,Ball,white,Ball,19,48
57,0,441,226,Ball,white,Ball,14,28
58,0,455,254,Ball,white,Ball,14,28
59,0,452,232,Ball,white,Ball,-3,-22
60,0,450,210,Ball,white,Ball,-2,-22
61,0,459,258,Ball,white,Ball,9,48
62,0,468,307,Ball,white,Ball,9,49
63,0,477,329,Ball,white,Ball,9,22
64,0,486,351,Ball,white,Ball,9,22
65,0,491,356,Ball,white,Ball,5,5
66,0,496,361,Ball,white,Ball,5,5
67,0,499,328,Ball,white,Ball,3,-33
68,0,503,295,Ball,white,Ball,4,-33
69,0,509,330,Ball,white,Ball,6,35
70,0,515,365,Ball,white,Ball,6,35
71,0,510,389,Ball,white,Ball,-5,24
72,0,505,413,Ball,white,Ball,-5,24
73,0,504,413,Ball,white,Ball,-1,0
74,0,503,414,Ball,white,Ball,-1,1
75,0,501,412,Ball,white,Ball,-2,-2
76,0,499,410,Ball,white,Ball,-2,-2
77,0,497,414,Ball,white,Ball,-2,4
78,0,496,419,Ball,white,Ball,-1,5
79,0,494,427,Ball,white,Ball,-2,8
80,0,492,435,Ball,white,Ball,-2,8
81,0,486,431,Ball,white,Ball,-6,-4
82,0,480,427,Ball,white,Ball,-6,-4
83,0,467,434,Ball,white,Ball,-13,7
84,0,455,442,Ball,white,Ball,-12,8
85,0,440,446,Ball,white,Ball,-15,4
86,0,425,451,Ball,white,Ball,-15,5
87,0,419,447,Ball,white,Ball,-6,-4
88,0,414,444,Ball,white,Ball,-5,-3
89,0,490,305,Ball,white,Ball,76,-139
90,0,566,167,Ball,white,Ball,76,-138
91,0,558,159,Ball,white,Ball,-8,-8
92,0,551,151,Ball,white,Ball,-7,-8
93,0,547,154,Ball,white,Ball,-4,3
94,0,544,158,Ball,white,Ball,-3,4
95,0,544,161,Ball,white,Ball,0,3
96,0,544,165,Ball,white,Ball,0,4
97,0,530,200,Ball,white,Ball,-14,35
98,0,516,236,Ball,white,Ball,-14,36
99,0,514,250,Ball,white,Ball,-2,14
100,0,512,265,Ball,white,Ball,-2,15
101,0,507,289,Ball,white,Ball,-5,24
102,0,502,313,Ball,white,Ball,-5,24
103,0,503,326,Ball,white,Ball,1,13
104,0,505,340,Ball,white,Ball,2,14
105,0,500,352,Ball,white,Ball,-5,12
106,0,495,364,Ball,white,Ball,-5,12
107,0,495,364,Ball,white,Ball,0,0
108,0,495,364,Ball,white,Ball,0,0
111,0,497,409,Ball,white,Ball,2,45
112,0,503,419,Ball,white,Ball,6,10
