frame,ID,X,Y,Class,Color,Position
7,5,587,481,Player,blue,Defense
7,6,649,430,Player,white,Attack
7,7,688,231,Player,white,Attack
7,8,579,248,Player,blue,Defense
7,9,642,40,Player,blue,Defense
7,12,823,101,Player,blue,Defense
7,13,774,253,Player,blue,Defense
7,15,722,112,Player,blue,Defense
7,16,736,190,Player,red,Not a player
7,18,707,131,Ball,white,Ball
7,19,736,103,Player,blue,Defense
14,5,594,457,Player,blue,Defense
14,6,654,410,Player,white,Attack
14,7,702,195,Player,blue,Defense
14,8,577,234,Player,blue,Defense
14,13,789,210,Player,blue,Defense
14,15,706,89,Player,white,Attack
14,16,758,156,Player,red,Not a player
14,18,698,99,Ball,white,Ball
14,19,727,119,Player,blue,Defense
14,23,460,428,Player,white,Attack
21,5,600,538,Player,blue,Defense
21,6,645,490,Player,white,Attack
21,7,766,127,Player,white,Attack
21,8,626,224,Player,blue,Defense
21,13,851,158,Player,blue,Defense
21,23,518,516,Player,white,Attack
21,28,489,536,Player,blue,Defense
28,5,577,464,Player,blue,Defense
28,6,623,433,Player,white,Attack
28,7,673,216,Player,white,Attack
28,8,578,257,Player,blue,Defense
28,9,584,50,Player,blue,Defense
28,13,774,220,Player,blue,Defense
28,15,611,146,Player,blue,Defense
28,16,740,165,Player,blue,Defense
28,19,642,137,Player,blue,Defense
28,23,489,416,Player,white,Attack
28,28,445,437,Player,blue,Defense
28,29,599,127,Ball,white,Ball
35,1,627,234,Player,blue,Defense
35,5,606,454,Player,blue,Defense
35,6,656,427,Player,white,Attack
35,7,716,196,Player,white,Attack
35,8,626,242,Player,blue,Defense
35,9,614,95,Player,blue,Defense
35,12,871,30,Player,white,Attack
35,13,801,208,Player,blue,Defense
35,15,632,82,Player,blue,Defense
35,16,769,169,Player,red,Not a player
35,19,654,139,Player,blue,Defense
35,23,531,411,Player,white,Attack
35,28,473,434,Player,blue,Defense
35,0,610,124,Ball,white,Ball
42,1,707,216,Player,blue,Defense
42,5,675,362,Player,blue,Defense
42,6,721,360,Player,white,Attack
42,7,791,185,Player,white,Attack
42,9,694,150,Player,white,Attack
42,11,734,4,Player,blue,Defense
42,15,696,156,Player,blue,Defense
42,16,838,174,Player,red,Not a player
42,19,701,219,Player,blue,Defense
42,20,602,79,Player,blue,Defense
42,23,630,322,Player,white,Attack
42,28,584,316,Player,blue,Defense
42,29,682,153,Ball,white,Ball
49,1,694,217,Player,blue,Defense
49,5,659,370,Player,blue,Defense
49,6,704,376,Player,white,Attack
49,7,787,194,Player,white,Attack
49,8,699,211,Player,blue,Defense
49,11,719,3,Player,blue,Defense
49,15,670,149,Player,white,Attack
49,17,845,1,Player,blue,Defense
49,20,590,75,Player,blue,Defense
49,23,625,327,Player,white,Attack
49,28,572,313,Player,blue,Defense
49,29,658,152,Ball,white,Ball
49,38,685,162,Player,blue,Defense
49,39,501,220,Player,blue,Defense
56,5,632,374,Player,blue,Defense
56,6,674,392,Player,white,Attack
56,8,685,207,Player,blue,Defense
56,9,656,114,Player,blue,Defense
56,15,643,143,Player,blue,Defense
56,19,647,164,Player,blue,Defense
56,20,583,95,Player,blue,Defense
56,23,612,343,Player,white,Attack
56,28,566,323,Player,blue,Defense
56,29,631,160,Ball,white,Ball
56,38,661,150,Player,blue,Defense
56,39,514,249,Player,blue,Defense
63,5,620,352,Player,blue,Defense
63,6,652,371,Player,white,Attack
63,8,661,216,Player,blue,Defense
63,9,627,139,Player,blue,Defense
63,11,678,50,Player,white,Attack
63,15,617,182,Player,blue,Defense
63,19,621,183,Player,blue,Defense
63,20,578,136,Player,blue,Defense
63,23,610,334,Player,white,Attack
63,28,567,314,Player,blue,Defense
63,29,612,182,Ball,white,Ball
63,38,631,161,Player,blue,Defense
63,39,513,245,Player,blue,Defense
63,45,509,21,Player,blue,Defense
70,5,592,367,Player,blue,Defense
70,6,626,392,Player,white,Attack
70,8,646,215,Player,blue,Defense
70,9,606,60,Player,blue,Defense
70,15,589,173,Player,blue,Defense
70,19,598,181,Player,blue,Defense
70,20,557,129,Player,blue,Defense
70,23,588,345,Player,blue,Defense
70,28,546,317,Player,blue,Defense
70,39,497,241,Player,blue,Defense
70,56,581,186,Ball,white,Ball
77,5,584,354,Player,blue,Defense
77,6,606,382,Player,white,Attack
77,8,622,235,Player,blue,Defense
77,9,580,130,Player,blue,Defense
77,11,635,95,Player,white,Attack
77,15,574,204,Player,blue,Defense
77,19,581,202,Player,blue,Defense
77,20,552,165,Player,blue,Defense
77,23,582,356,Player,blue,Defense
77,28,544,315,Player,blue,Defense
77,39,502,244,Player,blue,Defense
77,45,495,22,Player,blue,Defense
77,56,565,216,Ball,white,Ball
84,5,560,353,Player,blue,Defense
84,6,578,385,Player,white,Attack
84,8,603,232,Player,blue,Defense
84,11,619,83,Player,white,Attack
84,15,552,215,Player,blue,Defense
84,19,559,153,Player,blue,Defense
84,20,537,165,Player,blue,Defense
84,23,569,332,Player,white,Attack
84,28,528,311,Player,blue,Defense
84,38,562,194,Player,blue,Defense
84,39,500,239,Player,blue,Defense
84,56,547,217,Ball,white,Ball
91,5,549,344,Player,blue,Defense
91,6,564,383,Player,white,Attack
91,8,595,218,Player,blue,Defense
91,9,546,116,Player,blue,Defense
91,11,613,47,Player,white,Attack
91,15,543,197,Player,blue,Defense
91,19,545,169,Player,blue,Defense
91,20,527,140,Player,blue,Defense
91,23,559,330,Player,blue,Defense
91,28,518,307,Player,blue,Defense
91,38,555,164,Player,blue,Defense
91,39,503,225,Player,blue,Defense
91,56,537,203,Ball,white,Ball
98,5,522,335,Player,blue,Defense
98,6,534,378,Player,white,Attack
98,8,578,218,Player,blue,Defense
98,9,523,104,Player,blue,Defense
98,11,600,49,Player,white,Attack
98,15,523,181,Player,blue,Defense
98,19,521,194,Player,white,Attack
98,20,506,133,Player,blue,Defense
98,23,541,317,Player,white,Attack
98,28,495,299,Player,blue,Defense
98,38,538,145,Player,blue,Defense
98,39,499,204,Player,blue,Defense
98,56,516,196,Ball,white,Ball
98,67,577,466,Player,blue,Defense
98,71,516,196,Ball,white,Ball
105,5,482,346,Player,blue,Defense
105,6,491,391,Player,white,Attack
105,8,563,235,Player,blue,Defense
105,9,495,135,Player,blue,Defense
105,11,596,50,Player,white,Attack
105,15,496,192,Player,blue,Defense
105,19,504,223,Player,blue,Defense
105,20,477,180,Player,blue,Defense
105,23,521,350,Player,white,Attack
105,28,464,321,Player,blue,Defense
105,38,518,151,Player,blue,Defense
105,39,504,222,Player,blue,Defense
105,67,550,459,Player,blue,Defense
105,72,546,452,Player,blue,Defense
105,0,436,279,Ball,white,Ball
112,5,474,385,Player,blue,Defense
112,6,478,423,Player,blue,Defense
112,8,563,274,Player,blue,Defense
112,11,607,31,Player,white,Attack
112,15,497,195,Player,blue,Defense
112,19,508,233,Player,blue,Defense
112,20,467,151,Player,blue,Defense
112,23,521,391,Player,white,Attack
112,28,454,355,Player,blue,Defense
112,38,523,132,Player,blue,Defense
112,39,516,246,Player,blue,Defense
112,72,530,466,Player,blue,Defense
112,0,394,341,Ball,white,Ball
119,5,466,371,Player,blue,Defense
119,6,465,413,Player,blue,Defense
119,8,580,244,Player,blue,Defense
119,15,509,183,Player,blue,Defense
119,19,523,214,Player,white,Attack
119,20,477,172,Player,blue,Defense
119,23,534,390,Player,blue,Defense
119,28,443,323,Player,blue,Defense
119,38,538,76,Player,blue,Defense
119,39,541,231,Player,blue,Defense
119,72,533,456,Player,blue,Defense
119,96,363,355,Ball,white,Ball
126,5,386,383,Player,blue,Defense
126,6,381,414,Player,blue,Defense
126,15,447,210,Player,blue,Defense
126,19,465,236,Player,white,Attack
126,20,411,210,Player,blue,Defense
126,23,474,405,Player,white,Attack
126,28,369,324,Player,blue,Defense
126,38,484,121,Player,blue,Defense
126,39,488,248,Player,blue,Defense
126,67,450,468,Player,blue,Defense
126,72,457,463,Player,blue,Defense
126,96,312,372,Ball,white,Ball
133,5,365,426,Player,blue,Defense
133,6,361,465,Player,white,Attack
133,15,444,249,Player,blue,Defense
133,19,467,269,Player,white,Attack
