frame,ID,X,Y,Class,Color,Position
7,1,323,396,Player,white,Defense
7,2,596,139,Player,white,Defense
7,3,489,315,Player,skyblue,Not a player
7,4,469,285,Player,white,Defense
7,5,497,251,Player,white,Defense
7,6,431,217,Player,red,Attack
7,7,375,80,Player,white,Defense
7,8,503,155,Player,white,Defense
7,9,300,107,Player,red,Attack
7,10,413,438,Player,red,Attack
7,11,532,237,Player,red,Attack
7,12,321,348,Player,red,Attack
7,13,411,288,Player,red,Attack
7,15,291,238,Player,red,Attack
7,25,570,245,Player,red,Attack
7,26,581,94,Player,red,Attack
7,29,409,236,Player,white,Defense
7,0,453,80,Ball,white,Ball
14,2,620,152,Player,white,Defense
14,3,504,315,Player,green,Defense
14,4,487,283,Player,white,Defense
14,5,510,250,Player,white,Defense
14,6,443,222,Player,red,Attack
14,7,401,109,Player,white,Defense
14,8,521,176,Player,white,Defense
14,9,339,128,Player,red,Attack
14,10,428,437,Player,red,Attack
14,11,543,237,Player,red,Attack
14,13,422,300,Player,red,Attack
14,16,325,5,Player,skyblue,Not a player
14,25,576,263,Player,red,Attack
14,26,612,112,Player,red,Attack
14,29,433,233,Player,white,Defense
14,40,624,229,Player,white,Defense
14,51,636,414,Player,red,Attack
14,60,634,366,Player,white,Defense
21,2,632,158,Player,white,Defense
21,3,515,316,Player,green,Defense
21,4,493,288,Player,white,Defense
21,5,515,250,Player,white,Defense
21,6,446,231,Player,red,Attack
21,7,405,121,Player,white,Defense
21,8,528,188,Player,white,Defense
21,10,438,440,Player,red,Attack
21,11,552,237,Player,red,Attack
21,13,427,310,Player,red,Attack
21,25,582,267,Player,red,Attack
21,26,628,115,Player,red,Attack
21,29,441,240,Player,white,Defense
21,40,634,231,Player,white,Defense
21,51,657,411,Player,red,Attack
21,60,651,389,Player,white,Defense
21,87,678,298,Player,white,Defense
28,2,658,153,Player,white,Defense
28,3,528,326,Player,green,Defense
28,4,502,301,Player,white,Defense
28,5,521,256,Player,white,Defense
28,6,454,253,Player,red,Attack
28,7,414,131,Player,white,Defense
28,8,537,189,Player,white,Defense
28,10,452,446,Player,red,Attack
28,11,564,236,Player,red,Attack
28,13,436,321,Player,red,Attack
28,25,594,281,Player,red,Attack
28,26,659,113,Player,red,Attack
28,29,451,248,Player,red,Attack
28,40,656,240,Player,white,Defense
28,51,682,434,Player,red,Attack
28,60,676,405,Player,white,Defense
28,87,703,315,Player,white,Defense
35,2,669,185,Player,red,Attack
35,3,540,358,Player,green,Defense
35,4,507,331,Player,white,Defense
35,5,526,285,Player,white,Defense
35,8,540,212,Player,white,Defense
35,11,574,265,Player,red,Attack
35,25,600,318,Player,red,Attack
35,26,678,116,Player,red,Attack
35,40,665,274,Player,white,Defense
35,51,690,461,Player,red,Attack
35,60,687,431,Player,white,Defense
35,87,713,336,Player,white,Defense
42,2,672,185,Player,red,Attack
42,3,544,344,Player,green,Defense
42,4,503,313,Player,white,Defense
42,5,523,263,Player,white,Defense
42,8,542,198,Player,white,Defense
42,11,581,244,Player,red,Attack
42,25,607,310,Player,red,Attack
42,40,672,264,Player,white,Defense
42,51,709,452,Player,red,Attack
42,60,705,421,Player,white,Defense
42,87,716,336,Player,white,Defense
49,2,694,154,Player,white,Defense
49,3,566,338,Player,green,Defense
49,8,554,164,Player,white,Defense
49,11,604,218,Player,red,Attack
49,25,631,295,Player,red,Attack
49,26,708,113,Player,red,Attack
49,40,698,240,Player,white,Defense
49,51,745,439,Player,red,Attack
49,60,742,406,Player,white,Defense
