frame,ID,X,Y,Class,Color,Position
7,1,827,650,Player,blue,Attack
7,2,717,439,Player,red,Defense
7,3,750,605,Player,blue,Attack
7,4,841,593,Player,red,Defense
7,5,877,474,Player,red,Defense
7,7,708,536,Player,red,Defense
7,8,857,467,Player,blue,Attack
7,9,812,431,Player,red,Defense
7,10,730,268,Player,blue,Attack
7,11,1002,366,Player,white,Defense
7,12,810,528,Player,red,Defense
7,13,877,367,Player,red,Defense
7,14,825,261,Player,red,Defense
7,0,797,626,Ball,white,Ball
14,1,840,643,Player,blue,Attack
14,2,725,433,Player,red,Defense
14,3,768,608,Player,blue,Attack
14,4,852,595,Player,red,Defense
14,5,889,470,Player,red,Defense
14,7,725,542,Player,red,Defense
14,8,877,456,Player,blue,Attack
14,9,828,430,Player,red,Defense
14,11,1009,359,Player,white,Defense
14,12,826,536,Player,red,Defense
14,13,901,352,Player,red,Defense
14,14,838,240,Player,red,Defense
14,27,893,357,Player,red,Defense
14,0,831,634,Ball,white,Ball
21,1,835,646,Player,blue,Attack
21,2,730,451,Player,red,Defense
21,3,773,606,Player,blue,Attack
21,4,854,599,Player,red,Defense
21,5,894,474,Player,red,Defense
21,7,732,547,Player,red,Defense
21,8,883,452,Player,blue,Attack
21,9,829,448,Player,red,Defense
21,11,1012,369,Player,white,Defense
21,12,828,547,Player,red,Defense
21,13,901,374,Player,red,Defense
21,14,837,280,Player,red,Defense
21,27,890,380,Player,blue,Attack
21,0,839,634,Ball,white,Ball
28,1,839,642,Player,blue,Attack
28,2,739,449,Player,red,Defense
28,3,786,596,Player,blue,Attack
28,4,858,599,Player,red,Defense
28,5,898,468,Player,red,Defense
28,7,743,546,Player,red,Defense
28,8,889,441,Player,blue,Attack
28,9,839,447,Player,red,Defense
28,11,1012,364,Player,white,Defense
28,12,837,548,Player,red,Defense
28,13,908,374,Player,red,Defense
28,14,847,282,Player,red,Defense
28,27,894,379,Player,blue,Attack
28,0,838,632,Ball,white,Ball
35,1,837,640,Player,blue,Attack
35,3,791,595,Player,blue,Attack
35,4,859,602,Player,red,Defense
35,5,905,462,Player,red,Defense
35,7,750,551,Player,red,Defense
35,8,891,440,Player,blue,Attack
35,9,843,449,Player,red,Defense
35,11,1014,364,Player,white,Defense
35,12,841,554,Player,red,Defense
35,13,911,371,Player,red,Defense
35,14,850,287,Player,red,Defense
35,27,896,379,Player,blue,Attack
35,44,838,631,Ball,white,Ball
42,1,834,640,Player,white,Defense
42,3,799,588,Player,blue,Attack
42,4,866,599,Player,red,Defense
42,5,912,454,Player,red,Defense
42,7,759,552,Player,red,Defense
42,8,899,429,Player,blue,Attack
42,9,849,454,Player,red,Defense
42,11,1018,361,Player,white,Defense
42,12,847,558,Player,red,Defense
42,13,915,366,Player,red,Defense
42,14,858,288,Player,red,Defense
42,27,900,375,Player,blue,Attack
42,44,836,626,Ball,white,Ball
49,1,837,629,Player,white,Defense
49,2,754,452,Player,red,Defense
49,3,809,581,Player,blue,Attack
49,4,869,598,Player,red,Defense
49,5,919,447,Player,red,Defense
49,7,767,554,Player,red,Defense
49,8,904,425,Player,blue,Attack
49,9,854,459,Player,red,Defense
49,11,1018,364,Player,white,Defense
49,12,851,561,Player,red,Defense
49,13,918,368,Player,red,Defense
49,14,865,292,Player,red,Defense
49,27,903,376,Player,blue,Attack
49,50,839,619,Ball,white,Ball
56,1,840,624,Player,blue,Attack
56,2,759,452,Player,red,Defense
56,3,822,574,Player,blue,Attack
56,4,875,596,Player,red,Defense
56,5,924,438,Player,red,Defense
56,7,778,554,Player,red,Defense
56,8,909,417,Player,blue,Attack
56,9,859,462,Player,red,Defense
56,11,1019,363,Player,white,Defense
56,12,859,558,Player,red,Defense
56,13,922,363,Player,red,Defense
56,14,870,293,Player,red,Defense
56,27,906,373,Player,blue,Attack
56,50,840,616,Ball,white,Ball
56,55,917,362,Player,red,Defense
63,1,844,614,Player,blue,Attack
63,2,769,450,Player,red,Defense
63,3,836,565,Player,blue,Attack
63,4,882,593,Player,red,Defense
63,5,930,428,Player,red,Defense
63,7,791,556,Player,red,Defense
63,8,914,410,Player,blue,Attack
63,9,865,466,Player,red,Defense
63,11,1019,364,Player,white,Defense
63,12,866,557,Player,red,Defense
63,13,924,362,Player,red,Defense
63,14,875,297,Player,red,Defense
63,27,908,373,Player,blue,Attack
63,50,846,609,Ball,white,Ball
70,1,845,604,Player,white,Defense
70,2,772,451,Player,red,Defense
70,3,846,555,Player,blue,Attack
70,4,886,588,Player,red,Defense
70,5,930,423,Player,red,Defense
70,7,800,557,Player,red,Defense
70,8,917,407,Player,blue,Attack
70,9,867,470,Player,red,Defense
70,11,1018,364,Player,white,Defense
70,12,871,551,Player,red,Defense
70,13,926,358,Player,red,Defense
70,14,879,295,Player,red,Defense
70,27,907,371,Player,blue,Attack
70,57,848,596,Ball,white,Ball
77,1,847,597,Player,white,Defense
77,2,778,451,Player,red,Defense
77,3,852,550,Player,blue,Attack
77,4,886,590,Player,red,Defense
77,5,934,414,Player,red,Defense
77,7,812,555,Player,red,Defense
77,8,921,398,Player,blue,Attack
77,9,871,473,Player,red,Defense
77,11,1019,364,Player,white,Defense
77,12,881,541,Player,red,Defense
77,13,926,359,Player,red,Defense
77,14,883,298,Player,red,Defense
77,27,910,366,Player,blue,Attack
77,59,854,581,Ball,white,Ball
84,1,862,550,Player,red,Defense
84,2,795,444,Player,red,Defense
84,3,883,518,Player,blue,Attack
84,4,898,564,Player,red,Defense
84,5,936,395,Player,red,Defense
84,7,847,539,Player,red,Defense
84,8,926,383,Player,blue,Attack
84,9,879,479,Player,red,Defense
84,11,1021,367,Player,white,Defense
84,12,880,525,Player,red,Defense
84,13,932,348,Player,red,Defense
84,14,894,298,Player,red,Defense
84,27,909,360,Player,blue,Attack
84,57,872,541,Ball,white,Ball
84,69,903,491,Player,blue,Attack
91,1,870,534,Player,red,Defense
91,2,803,445,Player,red,Defense
91,3,877,524,Player,red,Defense
91,4,904,555,Player,red,Defense
91,5,933,395,Player,red,Defense
91,7,858,528,Player,red,Defense
91,8,925,381,Player,blue,Attack
91,9,881,481,Player,red,Defense
91,11,1019,371,Player,white,Defense
91,12,896,492,Player,red,Defense
91,13,934,346,Player,red,Defense
91,14,898,297,Player,red,Defense
91,27,912,355,Player,blue,Attack
91,69,898,509,Player,blue,Attack
91,72,810,369,Player,white,Defense
91,0,905,522,Ball,white,Ball
98,1,879,514,Player,red,Defense
98,2,814,441,Player,red,Defense
98,3,883,504,Player,red,Defense
98,4,916,537,Player,red,Defense
98,5,941,391,Player,red,Defense
98,7,868,519,Player,red,Defense
98,8,922,380,Player,blue,Attack
98,9,887,482,Player,red,Defense
98,11,1023,369,Player,white,Defense
98,13,935,345,Player,red,Defense
98,14,901,300,Player,red,Defense
98,27,914,351,Player,blue,Attack
98,69,912,499,Player,blue,Attack
98,72,828,351,Player,white,Defense
98,81,926,504,Ball,white,Ball
105,1,882,507,Player,red,Defense
105,2,821,437,Player,red,Defense
105,4,922,523,Player,red,Defense
105,5,947,390,Player,red,Defense
105,7,872,516,Player,red,Defense
105,8,918,381,Player,red,Defense
105,9,908,454,Player,red,Defense
105,11,1026,371,Player,white,Defense
105,13,938,344,Player,red,Defense
105,14,905,296,Player,red,Defense
105,27,915,345,Player,blue,Attack
105,69,927,493,Player,blue,Attack
105,81,943,492,Ball,white,Ball
112,1,895,482,Player,red,Defense
112,2,828,440,Player,red,Defense
112,3,879,499,Player,red,Defense
112,4,936,509,Player,red,Defense
112,5,960,392,Player,red,Defense
112,7,878,514,Player,red,Defense
112,8,918,380,Player,blue,Attack
112,11,1024,381,Player,white,Defense
112,13,952,336,Player,red,Defense
112,14,911,297,Player,red,Defense
112,27,913,346,Player,blue,Attack
112,69,951,480,Player,blue,Attack
112,81,961,481,Ball,white,Ball
112,90,877,484,Player,white,Defense
119,1,907,471,Player,red,Defense
119,2,835,435,Player,red,Defense
119,3,879,493,Player,red,Defense
119,4,944,497,Player,red,Defense
119,5,971,398,Player,red,Defense
119,7,882,517,Player,red,Defense
119,8,923,376,Player,blue,Attack
119,11,1024,392,Player,white,Defense
119,13,957,336,Player,red,Defense
119,14,923,281,Player,red,Defense
119,27,916,335,Player,blue,Attack
119,69,991,440,Player,blue,Attack
119,81,971,474,Ball,white,Ball
119,90,881,470,Player,blue,Attack
126,1,912,468,Player,red,Defense
126,2,840,439,Player,red,Defense
126,3,874,494,Player,red,Defense
126,4,949,494,Player,red,Defense
126,5,979,411,Player,red,Defense
126,7,888,520,Player,red,Defense
126,8,924,385,Player,blue,Attack
126,11,1018,408,Player,white,Defense
126,13,959,355,Player,red,Defense
126,14,926,311,Player,red,Defense
126,27,917,346,Player,blue,Attack
126,81,984,469,Ball,white,Ball
126,90,887,459,Player,white,Defense
126,102,980,469,Player,blue,Attack
133,1,915,462,Player,red,Defense
133,3,876,485,Player,red,Defense
133,4,955,481,Player,red,Defense
133,5,993,419,Player,red,Defense
133,7,891,521,Player,red,Defense
133,8,932,390,Player,blue,Attack
133,11,1017,414,Player,white,Defense
133,13,965,362,Player,red,Defense
133,14,956,291,Player,red,Defense
133,27,924,342,Player,red,Defense
133,90,898,445,Player,red,Defense
133,102,989,461,Player,blue,Attack
140,1,916,460,Player,red,Defense
140,3,872,482,Player,red,Defense
140,4,965,471,Player,red,Defense
140,5,1007,424,Player,red,Defense
140,7,894,525,Player,red,Defense
140,8,943,392,Player,blue,Attack
140,11,1026,416,Player,white,Defense
140,13,978,359,Player,red,Defense
140,14,941,339,Player,red,Defense
140,27,923,344,Player,blue,Attack
140,90,910,430,Player,blue,Attack
140,102,1008,453,Player,blue,Attack
140,0,1048,333,Ball,white,Ball
