frame,ID,X,Y,Class,Color,Position,dx,dy
1,0,797,626,Ball,white,Ball,0,0
2,0,797,626,Ball,white,Ball,0,0
3,0,831,634,Ball,white,Ball,34,8
4,0,831,634,Ball,white,Ball,0,0
6,0,839,634,Ball,white,Ball,8,0
7,0,839,634,Ball,white,Ball,0,0
8,0,838,632,Ball,white,Ball,-1,-2
9,0,838,632,Ball,white,Ball,0,0
29,0,905,522,Ball,white,Ball,67,-110
30,0,905,522,Ball,white,Ball,0,0
1,1,827,650,Player,blue,Attack,0,0
2,1,827,650,Player,blue,Attack,0,0
3,1,840,643,Player,blue,Attack,13,-7
4,1,840,643,Player,blue,Attack,0,0
6,1,835,646,Player,blue,Attack,-5,3
7,1,835,646,Player,blue,Attack,0,0
8,1,839,642,Player,blue,Attack,4,-4
9,1,839,642,Player,blue,Attack,0,0
10,1,837,640,Player,blue,Attack,-2,-2
11,1,837,640,Player,blue,Attack,0,0
13,1,834,640,Player,white,Defense,-3,0
14,1,834,640,Player,white,Defense,0,0
15,1,837,629,Player,white,Defense,3,-11
16,1,837,629,Player,white,Defense,0,0
17,1,840,624,Player,blue,Attack,3,-5
18,1,840,624,Player,blue,Attack,0,0
20,1,844,614,Player,blue,Attack,4,-10
21,1,844,614,Player,blue,Attack,0,0
22,1,845,604,Player,white,Defense,1,-10
23,1,845,604,Player,white,Defense,0,0
24,1,847,597,Player,white,Defense,2,-7
25,1,847,597,Player,white,Defense,0,0
27,1,862,550,Player,red,Defense,15,-47
28,1,862,550,Player,red,Defense,0,0
29,1,870,534,Player,red,Defense,8,-16
30,1,870,534,Player,red,Defense,0,0
31,1,879,514,Player,red,Defense,9,-20
32,1,879,514,Player,red,Defense,0,0
34,1,882,507,Player,red,Defense,3,-7
35,1,882,507,Player,red,Defense,0,0
36,1,895,482,Player,red,Defense,13,-25
37,1,895,482,Player,red,Defense,0,0
38,1,907,471,Player,red,Defense,12,-11
39,1,907,471,Player,red,Defense,0,0
41,1,912,468,Player,red,Defense,5,-3
42,1,912,468,Player,red,Defense,0,0
43,1,915,462,Player,red,Defense,3,-6
44,1,915,462,Player,red,Defense,0,0
1,2,717,439,Player,red,Defense,0,0
2,2,717,439,Player,red,Defense,0,0
3,2,725,433,Player,red,Defense,8,-6
4,2,725,433,Player,red,Defense,0,0
6,2,730,451,Player,red,Defense,5,18
7,2,730,451,Player,red,Defense,0,0
8,2,739,449,Player,red,Defense,9,-2
9,2,739,449,Player,red,Defense,0,0
15,2,754,452,Player,red,Defense,15,3
16,2,754,452,Player,red,Defense,0,0
17,2,759,452,Player,red,Defense,5,0
18,2,759,452,Player,red,Defense,0,0
20,2,769,450,Player,red,Defense,10,-2
21,2,769,450,Player,red,Defense,0,0
22,2,772,451,Player,red,Defense,3,1
23,2,772,451,Player,red,Defense,0,0
24,2,778,451,Player,red,Defense,6,0
25,2,778,451,Player,red,Defense,0,0
27,2,795,444,Player,red,Defense,17,-7
28,2,795,444,Player,red,Defense,0,0
29,2,803,445,Player,red,Defense,8,1
30,2,803,445,Player,red,Defense,0,0
31,2,814,441,Player,red,Defense,11,-4
32,2,814,441,Player,red,Defense,0,0
34,2,821,437,Player,red,Defense,7,-4
35,2,821,437,Player,red,Defense,0,0
36,2,828,440,Player,red,Defense,7,3
37,2,828,440,Player,red,Defense,0,0
38,2,835,435,Player,red,Defense,7,-5
